Datum;Anfang;Ende;Deutschland/Luxemburg [€/MWh] Berechnete Auflösungen;∅ Anrainer DE/LU [€/MWh] Berechnete Auflösungen;Belgien [€/MWh] Berechnete Auflösungen;Dänemark 1 [€/MWh] Berechnete Auflösungen;Dänemark 2 [€/MWh] Berechnete Auflösungen;Frankreich [€/MWh] Berechnete Auflösungen;Niederlande [€/MWh] Berechnete Auflösungen;Norwegen 2 [€/MWh] Berechnete Auflösungen;Österreich [€/MWh] Berechnete Auflösungen;Polen [€/MWh] Berechnete Auflösungen;Schweden 4 [€/MWh] Berechnete Auflösungen;Schweiz [€/MWh] Berechnete Auflösungen;Tschechien [€/MWh] Berechnete Auflösungen;DE/AT/LU [€/MWh] Berechnete Auflösungen;Italien (Nord) [€/MWh] Berechnete Auflösungen;Slowenien [€/MWh] Berechnete Auflösungen;Ungarn [€/MWh] Berechnete Auflösungen
15.03.2023;00:00;00:15;105,64;-;132,03;105,42;59,83;133,86;155,8;102,36;112;103,14;59,83;114,56;105,51;-;133,86;112,13;108,4
15.03.2023;00:15;00:30;105,64;-;132,03;105,42;59,83;133,86;155,8;102,36;112;103,14;59,83;114,56;105,51;-;133,86;112,13;108,4
15.03.2023;00:30;00:45;105,64;-;132,03;105,42;59,83;133,86;155,8;102,36;112;103,14;59,83;114,56;105,51;-;133,86;112,13;108,4
15.03.2023;00:45;01:00;105,64;-;132,03;105,42;59,83;133,86;155,8;102,36;112;103,14;59,83;114,56;105,51;-;133,86;112,13;108,4
15.03.2023;01:00;01:15;105,8;-;119,25;104,32;56,95;124,69;114,2;101,29;109,76;102,82;56,95;110,14;105,75;-;124,69;110,15;107,64
15.03.2023;01:15;01:30;105,8;-;119,25;104,32;56,95;124,69;114,2;101,29;109,76;102,82;56,95;110,14;105,75;-;124,69;110,15;107,64
15.03.2023;01:30;01:45;105,8;-;119,25;104,32;56,95;124,69;114,2;101,29;109,76;102,82;56,95;110,14;105,75;-;124,69;110,15;107,64
15.03.2023;01:45;02:00;105,8;-;119,25;104,32;56,95;124,69;114,2;101,29;109,76;102,82;56,95;110,14;105,75;-;124,69;110,15;107,64
15.03.2023;02:00;02:15;103,97;-;119,45;100,74;56,94;122,65;115,9;100,74;107,92;102,24;56,94;105,13;104,09;-;122,65;108,24;105,89
15.03.2023;02:15;02:30;103,97;-;119,45;100,74;56,94;122,65;115,9;100,74;107,92;102,24;56,94;105,13;104,09;-;122,65;108,24;105,89
